population,avg_age,avg_surv,avg_repro,number_of_clusters,clusters_10e1,clusters_10e2,clusters_10e3,clusters_10e4,clusters_10e5
327,3.058103975535168,0.7538147457429409,0.25969517887109744,9,"8,0,1,0,0"
373,2.689008042895442,0.8307424402054543,0.2822382971013783,10,"9,0,1,0,0"
450,2.6044444444444443,0.7594135598061409,0.3033580573174679,5,"4,0,1,0,0"
515,2.5650485436893202,0.7721635636808803,0.2924864519459074,3,"2,0,1,0,0"
578,2.5397923875432524,0.7850013702977441,0.26480134453316256,4,"3,0,1,0,0"
643,2.5645412130637637,0.7603965420064807,0.24140529829558371,5,"4,0,1,0,0"
684,2.5760233918128654,0.8662091675745011,0.22398878254944576,5,"4,0,1,0,0"
751,2.7589880159786953,0.6040961502468813,0.23745266824745262,3,"2,0,1,0,0"
681,2.5961820851688695,0.7311662427786983,0.2197497165586599,6,"5,0,1,0,0"
683,2.6617862371888728,0.7621181503034204,0.22635046071364254,3,"2,0,1,0,0"
689,2.6879535558780843,0.788633927729451,0.23233196476797424,4,"3,0,1,0,0"
742,2.6563342318059298,0.6954304995710543,0.23030963147157293,2,"1,0,1,0,0"
714,2.6330532212885154,0.7075009247366424,0.23540876096721103,4,"3,0,1,0,0"
679,2.7349042709867453,0.7745666702717042,0.2478191144963017,2,"1,0,1,0,0"
722,2.6952908587257616,0.749962126701354,0.2388127750905545,2,"1,0,1,0,0"
723,2.702627939142462,0.7826893775100668,0.23618790242208487,3,"2,0,1,0,0"
767,2.698826597131682,0.8641648120214285,0.22982961345306918,2,"1,0,1,0,0"
865,2.7549132947976878,0.8533968288660836,0.23578953002120068,4,"3,0,1,0,0"
995,2.8040201005025125,0.8117703752397274,0.2448571883272725,4,"3,0,1,0,0"
1095,2.8009132420091323,0.7637091783278374,0.25209162671177504,2,"1,0,0,1,0"
1190,2.704201680672269,0.7712167588851082,0.23389584608946853,1,"0,0,0,1,0"
1219,2.8022969647251847,0.6869428963827205,0.24796778246620896,2,"1,0,0,1,0"
1224,2.718137254901961,0.853804658929195,0.23314751548713042,4,"3,0,0,1,0"
1383,2.819233550253073,0.8159957932766444,0.2376652317040757,3,"2,0,0,1,0"
1493,2.8995311453449433,0.7750810244835009,0.24610342100246826,5,"4,0,0,1,0"
1569,2.7947737412364564,0.790515060476561,0.2388331805468069,4,"3,0,0,1,0"
1654,2.889359129383313,0.6876921091882289,0.25299558088680185,6,"5,0,0,1,0"
1617,2.82312925170068,0.7666176344166474,0.24810018521358232,7,"6,0,0,1,0"
1660,2.877710843373494,0.8090669633513206,0.24684186115162823,3,"2,0,0,1,0"
1808,2.9446902654867255,0.7826517893612048,0.25077788623686037,6,"5,0,0,1,0"
1899,2.937335439705108,0.7429112710035366,0.24831024489971565,7,"6,0,0,1,0"
1906,2.8793284365162646,0.7992508224452919,0.2383489456147938,6,"5,0,0,1,0"
2026,2.843534057255676,0.6707897573982684,0.23109402758938336,6,"5,0,0,1,0"
1976,2.73836032388664,0.8448450026340812,0.22262335726146248,5,"4,0,0,1,0"
2166,2.8277931671283474,0.8031167188148429,0.23470188262472502,6,"5,0,0,1,0"
2314,2.8923941227312016,0.7485944401139243,0.2492393939420297,6,"5,0,0,1,0"
2420,2.7698347107438015,0.7768004510110931,0.23327662326735715,5,"4,0,0,1,0"
2579,2.719658782473827,0.7295708319701977,0.22875287850157938,11,"10,0,0,1,0"
2638,2.6815769522365427,0.744122950878895,0.22236134001221716,9,"8,0,0,1,0"
2680,2.725,0.7199575068711875,0.23280751664270158,4,"3,0,0,1,0"
2714,2.653647752394989,0.6170742330436765,0.23236639375088686,5,"4,0,0,1,0"
2554,2.4937353171495693,0.7518327306429126,0.21574500142586397,11,"10,0,0,1,0"
2638,2.5200909780136467,0.6652284321240892,0.21835624633298495,8,"7,0,0,1,0"
2436,2.51559934318555,0.7262153783497778,0.21907829041329427,7,"5,1,0,1,0"
2422,2.602394715111478,0.6729501133966493,0.23251363491654567,7,"6,0,0,1,0"
2306,2.6751951431049434,0.6622026656008494,0.24366881439592247,9,"8,0,0,1,0"
2217,2.5836716283265675,0.6061299638812228,0.22704138267625484,9,"8,0,0,1,0"
1966,2.5493387589013223,0.8652314813074571,0.2173423747512391,12,"10,1,0,1,0"
2155,2.768445475638051,0.7699654660116075,0.24158760741697818,6,"5,0,0,1,0"
2262,2.82183908045977,0.7717820589168888,0.2460510630957801,6,"5,0,0,1,0"
2404,2.806156405990017,0.7294502568046932,0.2431704827384968,8,"7,0,0,1,0"
2442,2.7403767403767403,0.6900301574141685,0.23805507601398015,7,"6,0,0,1,0"
2432,2.6015625,0.6000824926999582,0.21712295156562397,8,"7,0,0,1,0"
2231,2.523980277902286,0.626081269391018,0.20499809292598994,10,"9,0,0,1,0"
2003,2.54418372441338,0.6434845820739117,0.2121818502553452,8,"7,0,0,1,0"
1905,2.4887139107611547,0.706123311002266,0.20566344104003245,9,"8,0,0,1,0"
1749,2.57347055460263,0.7307917889868532,0.21215995036923777,14,"12,1,0,1,0"
1738,2.627157652474108,0.6003257843690417,0.21803266362171436,11,"10,0,0,1,0"
1554,2.6171171171171173,0.7193968544549806,0.21268901349846014,18,"17,0,0,1,0"
1450,2.719310344827586,0.8532988756259838,0.2238086077825582,19,"18,0,0,1,0"
1652,2.790556900726392,0.6763544256168874,0.23895151788475588,18,"17,0,0,1,0"
1636,2.6460880195599024,0.8000879121080873,0.2254693796686882,8,"7,0,0,1,0"
1751,2.7030268418046832,0.800938606779644,0.24008697403992094,3,"2,0,0,1,0"
1895,2.829023746701847,0.740117460707121,0.2619871968988054,4,"3,0,0,1,0"
1968,2.7916666666666665,0.8617660739218072,0.2553871053755486,6,"5,0,0,1,0"
2289,2.6968108344255133,0.7677595153792662,0.23427572602425675,8,"7,0,0,1,0"
2352,2.749574829931973,0.7251413749589,0.23764761922337965,6,"5,0,0,1,0"
2348,2.7431856899488927,0.7659515496099314,0.23847907342485028,4,"3,0,0,1,0"
2420,2.7611570247933885,0.7780831041195102,0.24017096427207552,5,"4,0,0,1,0"
2546,2.8699921445404555,0.8267330916487056,0.2526137613060029,6,"5,0,0,1,0"
2822,2.797661233167966,0.7278371647795006,0.23577764796333625,9,"8,0,0,1,0"
2869,2.705820843499477,0.8354720212938493,0.22334219055419555,5,"4,0,0,1,0"
3149,2.79676087646872,0.7903236633515229,0.23602775363702846,7,"6,0,0,1,0"
3336,2.8375299760191846,0.7178576457530851,0.24349652554088047,9,"8,0,0,1,0"
3358,2.8007742703990472,0.7599690074268486,0.24495039145977004,2,"1,0,0,1,0"
3498,2.710405946255003,0.80046723607894,0.23209178322652105,6,"5,0,0,1,0"
3702,2.759319286871961,0.8453869945886443,0.23511444991644698,11,"10,0,0,1,0"
4080,2.8644607843137253,0.7850489947994099,0.24830414086953495,11,"10,0,0,1,0"
4359,2.748107364074329,0.7587758070350081,0.2339251899170929,8,"7,0,0,1,0"
4494,2.709390298175345,0.7839259823936298,0.22954056565623848,5,"4,0,0,1,0"
4653,2.7868042123361274,0.6011071109472801,0.24368119944476704,8,"7,0,0,1,0"
4270,2.5367681498829038,0.7190140770501139,0.2110341365377782,9,"8,0,0,1,0"
4263,2.513253577292986,0.7368710373035011,0.20524896579387783,17,"16,0,0,1,0"
4146,2.6314520019295706,0.8257545756745376,0.22294824994229798,13,"12,0,0,1,0"
4494,2.737205162438807,0.7689251989605074,0.2388817671701536,9,"8,0,0,1,0"
4733,2.7416015212338896,0.8265995802034615,0.2499193832118352,7,"6,0,0,1,0"
5352,2.76644245142003,0.692564124448534,0.2551357749274471,16,"15,0,0,1,0"
5295,2.694995278564684,0.8238647774166676,0.2430013293533391,8,"7,0,0,1,0"
5808,2.752754820936639,0.7524885111659139,0.2432158324917407,9,"8,0,0,1,0"
5916,2.7958079783637593,0.7977746291937907,0.24874223534457476,12,"11,0,0,1,0"
